pid,block,trial_no,name,gender,top_bottom,no_within_gender,back_next,img,img_id,img_path
120,1,1,laura,F,top,625215,next,094still5.jpg,094,encoding_images/female_familiarization/094still5.jpg
120,1,2,inge,F,bottom,520,next,219still3.jpg,219,encoding_images/female_familiarization/219still3.jpg
120,1,3,niels,M,bottom,1009,back,082still5.jpg,082,encoding_images/male_familiarization/082still5.jpg
120,1,4,kostas,M,bottom,339,back,113still9.jpg,113,encoding_images/male_familiarization/113still9.jpg
120,1,5,sara,F,top,342086,back,299still6.jpg,299,encoding_images/female_familiarization/299still6.jpg
120,1,6,siegfried,M,bottom,398,next,159still13.jpg,159,encoding_images/male_familiarization/159still13.jpg
120,1,7,edward,M,top,577814,back,106still12.jpg,106,encoding_images/male_familiarization/106still12.jpg
120,1,8,ann,F,top,222015,next,144still2.jpg,144,encoding_images/female_familiarization/144still2.jpg
120,1,9,russell,M,top,213906,next,145still18.jpg,145,encoding_images/male_familiarization/145still18.jpg
120,1,10,peder,M,bottom,596,next,044still13.jpg,044,encoding_images/male_familiarization/044still13.jpg
120,1,11,crystal,F,top,325156,back,024still7.jpg,024,encoding_images/female_familiarization/024still7.jpg
120,1,12,ronald,M,top,629381,next,238still5.jpg,238,encoding_images/male_familiarization/238still5.jpg
120,1,13,viki,F,bottom,1548,next,029still10.jpg,029,encoding_images/female_familiarization/029still10.jpg
120,1,14,antonietta,F,bottom,991,back,294still16.jpg,294,encoding_images/female_familiarization/294still16.jpg
120,1,15,larry,M,top,474102,back,239still2.jpg,239,encoding_images/male_familiarization/239still2.jpg
120,1,16,dyan,F,bottom,1733,back,253still5.jpg,253,encoding_images/female_familiarization/253still5.jpg
120,2,1,spiro,M,bottom,681,back,267still6.jpg,267,encoding_images/male_familiarization/267still6.jpg
120,2,2,giuseppina,F,bottom,686,next,300still11.jpg,300,encoding_images/female_familiarization/300still11.jpg
120,2,3,jack,M,top,351140,next,281still4.jpg,281,encoding_images/male_familiarization/281still4.jpg
120,2,4,anthony,M,top,1246681,next,120still2.jpg,120,encoding_images/male_familiarization/120still2.jpg
120,2,5,andrew,M,top,1156589,back,146still1.jpg,146,encoding_images/male_familiarization/146still1.jpg
120,2,6,elke,F,bottom,1070,back,304still12.jpg,304,encoding_images/female_familiarization/304still12.jpg
120,2,7,amanda,F,top,765106,back,215still8.jpg,215,encoding_images/female_familiarization/215still8.jpg
120,2,8,giulio,M,bottom,513,next,003still16.jpg,003,encoding_images/male_familiarization/003still16.jpg
120,2,9,anna,F,top,397826,next,007still18.jpg,007,encoding_images/female_familiarization/007still18.jpg
120,2,10,gunther,M,bottom,842,next,231still2.jpg,231,encoding_images/male_familiarization/231still2.jpg
120,2,11,trudie,F,bottom,1221,next,032still3.jpg,032,encoding_images/female_familiarization/032still3.jpg
