pid,block,trial_no,name,gender,top_bottom,no_within_gender,back_next,img,img_id,img_path
156,1,1,vasiliki,F,bottom,1155,back,063still18.jpg,063,encoding_images/female_familiarization/063still18.jpg
156,1,2,niels,M,bottom,1009,back,175still5.jpg,175,encoding_images/male_familiarization/175still5.jpg
156,1,3,troy,M,top,191394,back,080still5.jpg,080,encoding_images/male_familiarization/080still5.jpg
156,1,4,carl,M,top,222487,next,159still13.jpg,159,encoding_images/male_familiarization/159still13.jpg
156,1,5,angela,F,top,633439,next,137still6.jpg,137,encoding_images/female_familiarization/137still6.jpg
156,1,6,eleonora,F,bottom,706,next,144still2.jpg,144,encoding_images/female_familiarization/144still2.jpg
156,1,7,teresa,F,top,368426,back,303still2.jpg,303,encoding_images/female_familiarization/303still2.jpg
156,1,8,hendrik,M,bottom,1008,next,035still14.jpg,035,encoding_images/male_familiarization/035still14.jpg
156,1,9,micheline,F,bottom,999,back,110still18.jpg,110,encoding_images/female_familiarization/110still18.jpg
156,1,10,crystal,F,top,325156,back,097still1.jpg,097,encoding_images/female_familiarization/097still1.jpg
156,1,11,joani,F,bottom,566,next,290still10.jpg,290,encoding_images/female_familiarization/290still10.jpg
156,1,12,georg,M,bottom,346,next,051still6.jpg,051,encoding_images/male_familiarization/051still6.jpg
156,1,13,cindy,F,top,250580,next,152still1.jpg,152,encoding_images/female_familiarization/152still1.jpg
156,1,14,jerry,M,top,337346,back,005still4.jpg,005,encoding_images/male_familiarization/005still4.jpg
156,1,15,bernhard,M,bottom,541,back,027still14.jpg,027,encoding_images/male_familiarization/027still14.jpg
156,1,16,ronald,M,top,629381,next,102still12.jpg,102,encoding_images/male_familiarization/102still12.jpg
156,2,1,robert,M,top,2574767,next,227still3.jpg,227,encoding_images/male_familiarization/227still3.jpg
156,2,2,sean,M,top,418137,next,139still18.jpg,139,encoding_images/male_familiarization/139still18.jpg
156,2,3,giulio,M,bottom,513,next,230still18.jpg,230,encoding_images/male_familiarization/230still18.jpg
156,2,4,viki,F,bottom,1548,back,131still13.jpg,131,encoding_images/female_familiarization/131still13.jpg
156,2,5,renate,F,bottom,1182,next,277still4.jpg,277,encoding_images/female_familiarization/277still4.jpg
156,2,6,jason,M,top,1032094,back,280still2.jpg,280,encoding_images/male_familiarization/280still2.jpg
156,2,7,krzysztof,M,bottom,456,back,141still12.jpg,141,encoding_images/male_familiarization/141still12.jpg
156,2,8,carolyn,F,top,268115,back,085still3.jpg,085,encoding_images/female_familiarization/085still3.jpg
156,2,9,saverio,M,bottom,868,next,147still5.jpg,147,encoding_images/male_familiarization/147still5.jpg
156,2,10,joanna,F,top,92485,back,112still2.jpg,112,encoding_images/female_familiarization/112still2.jpg
156,2,11,patricia,F,top,854220,next,062still4.jpg,062,encoding_images/female_familiarization/062still4.jpg
156,2,12,bradley,M,top,298126,back,106still12.jpg,106,encoding_images/male_familiarization/106still12.jpg
156,2,13,hannelore,F,bottom,242,back,178still9.jpg,178,encoding_images/female_familiarization/178still9.jpg
156,2,14,carla,F,top,136352,next,089still1.jpg,089,encoding_images/female_familiarization/089still1.jpg
156,2,15,yaron,M,bottom,271,back,133still9.jpg,133,encoding_images/male_familiarization/133still9.jpg
156,2,16,jennine,F,bottom,1206,next,157still8.jpg,157,encoding_images/female_familiarization/157still8.jpg
156,3,1,sarkis,M,bottom,695,back,125still2.jpg,125,encoding_images/male_familiarization/125still2.jpg
156,3,2,laura,F,top,625215,back,181still12.jpg,181,encoding_images/female_familiarization/181still12.jpg
156,3,3,inge,F,bottom,520,back,169still9.jpg,169,encoding_images/female_familiarization/169still9.jpg
156,3,4,jolyn,F,bottom,1852,next,032still3.jpg,032,encoding_images/female_familiarization/032still3.jpg
156,3,5,steven,M,top,1191666,back,190still4.jpg,190,encoding_images/male_familiarization/190still4.jpg
156,3,6,theodore,M,top,137034,next,031still12.jpg,031,encoding_images/male_familiarization/031still12.jpg
156,3,7,julene,F,bottom,1281,back,143still3.jpg,143,encoding_images/female_familiarization/143still3.jpg
156,3,8,martyn,M,bottom,475,back,282still12.jpg,282,encoding_images/male_familiarization/282still12.jpg
156,3,9,ellen,F,top,132058,back,182still11.jpg,182,encoding_images/female_familiarization/182still11.jpg
156,3,10,arla,F,bottom,935,next,127still1.jpg,127,encoding_images/female_familiarization/127still1.jpg
156,3,11,arno,M,bottom,590,next,156still3.jpg,156,encoding_images/male_familiarization/156still3.jpg
156,3,12,vincent,M,top,253327,next,264still16.jpg,264,encoding_images/male_familiarization/264still16.jpg
156,3,13,vahe,M,bottom,239,next,199still3.jpg,199,encoding_images/male_familiarization/199still3.jpg
