name,gender,top_bottom,no_within_gender,block,back_next,pid
kyle,M,top,477434,3,next,155
siegfried,M,bottom,398,2,back,155
kostas,M,bottom,339,3,next,155
kathrin,F,bottom,1057,2,next,155
jerry,M,top,337346,3,back,155
zoran,M,bottom,369,3,back,155
antonietta,F,bottom,991,2,back,155
peder,M,bottom,596,1,next,155
marylee,F,bottom,1394,1,back,155
ahmet,M,bottom,568,4,next,155
renee,F,top,170408,2,back,155
nunzio,M,bottom,496,4,back,155
dyan,F,bottom,1733,3,back,155
tara,F,top,173979,2,next,155
larysa,F,bottom,155,1,next,155
joel,M,top,235760,1,back,155
eric,M,top,857523,4,next,155
brita,F,bottom,1035,2,back,155
despina,F,bottom,1097,3,next,155
leah,F,top,211413,4,next,155
sandor,M,bottom,801,1,back,155
petar,M,bottom,552,3,back,155
florian,M,bottom,873,1,back,155
alla,F,bottom,397,1,back,155
zoltan,M,bottom,728,3,next,155
renate,F,bottom,1182,1,next,155
sandra,F,top,561085,1,back,155
vincent,M,top,253327,2,back,155
vahe,M,bottom,239,2,back,155
karen,F,top,801132,2,next,155
per,M,bottom,352,1,next,155
john,M,top,2738991,2,back,155
susette,F,bottom,924,2,next,155
allison,F,top,300943,4,back,155
donald,M,top,624929,1,back,155
cynthia,F,top,634311,3,next,155
phillip,M,top,237464,2,next,155
joanna,F,top,92485,4,next,155
adam,M,top,542093,1,next,155
bruce,M,top,266615,4,back,155
nicholas,M,top,853046,2,next,155
kenneth,M,top,803470,4,back,155
rebecca,F,top,659563,2,back,155
nathan,M,top,527664,3,next,155
catherine,F,top,359514,3,back,155
viki,F,bottom,1548,3,back,155
lauralee,F,bottom,1694,4,back,155
dean,M,top,132701,3,back,155
ellen,F,top,132058,1,next,155
julene,F,bottom,1281,4,next,155
kara,F,top,99531,1,back,155
sigrid,F,bottom,1294,4,back,155
elke,F,bottom,1070,3,next,155
gina,F,top,150483,3,back,155
valerie,F,top,240233,4,back,155
joline,F,bottom,1507,4,next,155
ralf,M,bottom,210,4,back,155
alan,M,top,274937,1,next,155
laurent,M,bottom,1097,2,next,155
sara,F,top,342086,1,next,155
saverio,M,bottom,868,4,next,155
stanislaw,M,bottom,233,2,next,155
kimberly,F,top,837190,3,next,155
thomas,M,top,1464735,4,next,155
